,kcat,data_type,MW,kcat_MW
14GLUCANabcpp_num1,6455.7993281475,fill,45618.85620000004,509457.7005490765
2DHGLCK,5.755,Other_species,38256.48120000005,541.5552959951782
2DHGLCNkt_tpp_num1,6455.7993281475,fill,47643.458800000066,487808.3616660294
2HH24DDH1,6455.7993281475,fill,36833.468800000046,630971.7313763013
2MAHMP,6455.7993281475,fill,30569.459699999985,760264.5846348084
34HPPOR,6.8,Other_species,41872.61500000004,584.6303126757184
3HAD100,8.881378260869566,Other_species,28859.510700000006,1107.8830154639604
3HAD120,8.881378260869566,Other_species,28859.510700000006,1107.8830154639604
3HAD160,8.881378260869566,Other_species,28859.510700000006,1107.8830154639604
3HAD60,8.881378260869566,Other_species,28859.510700000006,1107.8830154639604
3HAD80,8.881378260869566,Other_species,28859.510700000006,1107.8830154639604
3HBCOAHL,266.0,Other_species,45133.35230000004,21217.125500336457
3HCINNMH,0.691,Other_species,65596.95970000021,37.92248926439181
3HOXPACt2pp,6455.7993281475,fill,27760.2597,837199.573508709
3hoxpactex,6455.7993281475,fill,38916.419600000045,597199.7891946611
3HPAOX,1.5791250000000001,Other_species,23522.263099999975,241.67955165844592
3HPPPNH,0.691,Other_species,65596.95970000021,37.92248926439181
3MBtex,6455.7993281475,fill,26370.112100000006,881334.0456497717
3OADPCOAT,23.83333,Other_species,92139.49740000021,931.1966140592363
3OAR100_num1,129.099,Other_species,27200.640499999994,17086.230009914656
3OAR120_num1,121.08090909090909,Other_species,27200.640499999994,16025.037084228688
3OAR121_num1,157.519,Other_species,27200.640499999994,20847.612025900646
3OAR140_num1,129.099,Other_species,27200.640499999994,17086.230009914656
3OAR141_num1,157.519,Other_species,27200.640499999994,20847.612025900646
3OAR160_num1,129.099,Other_species,27200.640499999994,17086.230009914656
3OAR161_num1,157.519,Other_species,27200.640499999994,20847.612025900646
3OAR180_num1,157.519,Other_species,27200.640499999994,20847.612025900646
3OAR181_num1,157.519,Other_species,27200.640499999994,20847.612025900646
3OAR40_num1,157.519,Other_species,27200.640499999994,20847.612025900646
3OAR60_num1,129.099,Other_species,27200.640499999994,17086.230009914656
3OAR80_num1,129.099,Other_species,27200.640499999994,17086.230009914656
3OAS121_num1,0.17085714285714285,Other_species,65429.77599999998,9.400700291037438
3OAS141_num1,0.17085714285714285,Other_species,65429.77599999998,9.400700291037438
3OAS161_num1,0.17085714285714285,Other_species,65429.77599999998,9.400700291037438
3OAS180_num1,0.17085714285714285,Other_species,65429.77599999998,9.400700291037438
