reactions,metabolites,metabolitestotal,gpr,genes
14GLUCANabcpp_num1,14glucan_p,14glucan,SCLAV_1447,SCLAV_1447
2DHGLCK,2dhglcn_c,2dhglcn,SCLAV_3904,SCLAV_3904
2DHGLCNkt_tpp_num1,2dhglcn_p,2dhglcn,SCLAV_0910,SCLAV_0910
2HH24DDH1,2hh24dd_c,2hh24dd,SCLAV_0977,SCLAV_0977
2MAHMP,2mahmp_c,2mahmp,SCLAV_2854,SCLAV_2854
34HPPOR,34hpp_c,34hpp,SCLAV_2046,SCLAV_2046
3AMACHYD_num1,3amac_c,3amac,SCLAV_2133,SCLAV_2133
3HBCOAHL,3hibutcoa_c,3hibutcoa,SCLAV_p0937,SCLAV_p0937
3HCINNMH,3hcinnm_c,3hcinnm,SCLAV_p0766,SCLAV_p0766
3HOXPACt2pp,3hoxpac_p,3hoxpac,SCLAV_5018,SCLAV_5018
3HPAOX,3hoxpac_c,3hoxpac,SCLAV_3443,SCLAV_3443
3HPPPNH,3hpppn_c,3hpppn,SCLAV_p0766,SCLAV_p0766
3MBt2pp,3mb_p,3mb,ANW17053,ANW17053
3MBt4pp,3mb_p,3mb,ANW17053,ANW17053
3OADPCOAT,3oxoadp_c,3oxoadp,SCLAV_5024,SCLAV_5024
3OADPCOAT,succoa_c,succoa,SCLAV_5024,SCLAV_5024
3OAR100_num1,3odecACP_c,3odecACP,SCLAV_5458,SCLAV_5458
3OAR120_num1,3oddecACP_c,3oddecACP,SCLAV_5458,SCLAV_5458
3OAR121_num1,3ocddec5eACP_c,3ocddec5eACP,SCLAV_5458,SCLAV_5458
3OAR140_num1,3omrsACP_c,3omrsACP,SCLAV_5458,SCLAV_5458
3OAR141_num1,3ocmrs7eACP_c,3ocmrs7eACP,SCLAV_5458,SCLAV_5458
3OAR160_num1,3opalmACP_c,3opalmACP,SCLAV_5458,SCLAV_5458
3OAR161_num1,3ocpalm9eACP_c,3ocpalm9eACP,SCLAV_5458,SCLAV_5458
3OAR180_num1,3ooctdACP_c,3ooctdACP,SCLAV_5458,SCLAV_5458
3OAR181_num1,3ocvac11eACP_c,3ocvac11eACP,SCLAV_5458,SCLAV_5458
3OAR40_num1,actACP_c,actACP,SCLAV_5458,SCLAV_5458
3OAR60_num1,3ohexACP_c,3ohexACP,SCLAV_5458,SCLAV_5458
3OAR80_num1,3ooctACP_c,3ooctACP,SCLAV_5458,SCLAV_5458
3OAS100_num1,malACP_c,malACP,SCLAV_5117,SCLAV_5117
3OAS100_num1,ocACP_c,ocACP,SCLAV_5117,SCLAV_5117
3OAS120_num1,dcaACP_c,dcaACP,SCLAV_5117,SCLAV_5117
3OAS120_num1,malACP_c,malACP,SCLAV_5117,SCLAV_5117
3OAS121_num1,cdec3eACP_c,cdec3eACP,SCLAV_5117,SCLAV_5117
