reactions,data_type,kcat,MW,kcat_MW
TKT2_num3,DLkcat,1724.139,75568.64200000037,82135.92616895205
MPTG2ex,DLkcat,1401.2211,77037.3435000005,65479.87937823904
TKT1_num4,DLkcat,688.9065,32155.06910000002,77128.22486206378
NDH_1,DLkcat,486.7178,24929.40569999997,70285.83437109382
HPYRRx,DLkcat,464.5597,36238.84230000005,46149.78884135043
GSPMDS,DLkcat,464.5597,44064.20219999999,37954.04969342666
URAt2pp,DLkcat,464.5597,48603.10830000002,34409.62890021582
FBA_reverse_num1,DLkcat,441.0664,28866.36269999999,55006.55058283462
TKT1_num5,DLkcat,433.6566,27803.56029999999,56149.77877491468
TKT2_num2,DLkcat,433.6566,67817.43020000034,23020.09609323109
OIVD1r_num1,DLkcat,420.9245,51334.2554000001,29518.850291924122
G3PAT181_num3,DLkcat,415.658,30152.44730000001,49626.777724274456
GLCRt2r_reverse,DLkcat,393.6937,45187.75750000005,31364.63056393091
ILEDHr,DLkcat,388.7468,38404.02810000006,36441.189876121294
HCINNMt2rpp_reverse_num1,DLkcat,353.8262,41766.01600000003,30497.865058520274
TKT1_num3,DLkcat,332.6807,75568.64200000037,15848.511873483107
THZPSN_num2,DLkcat,332.6807,27723.543999999976,34164.18392251976
UDPKAAT,DLkcat,332.6807,47297.95990000008,25321.399115990156
GSPMDA,DLkcat,301.9408,44064.20219999999,24668.252815887823
HACD5_reverse_num1,DLkcat,288.5709,74914.80110000033,13867.156085928598
URATEt_1,DLkcat,278.4037,42741.14600000004,23449.37873214722
HPPPNt2rpp_num1,DLkcat,252.5737,41766.01600000003,21770.458546967933
UDPDPS2,DLkcat,249.0522,31493.5341,28468.95229837035
C160SN_num2,DLkcat,240.5967,44510.94090000006,8041.187427396477
ALDD4_num1,DLkcat,234.0496,52051.45430000013,16187.416304331728
ALDD3y,DLkcat,222.08,55338.76020000009,14447.161394844525
URCN,DLkcat,194.2388,59949.329000000165,11664.17859322492
PUNP7_reverse,DLkcat,188.331,45134.45000000001,15021.598800915926
MDDEP1pp_num2,DLkcat,188.029,56932.1162000001,11889.675725772491
AMMQLT8_num2,DLkcat,176.2871,47031.60640000007,13493.767459322824
ACOAD6f_reverse_num4,DLkcat,176.2871,66494.43680000029,9544.160241688027
GLCURt2rpp_num3,DLkcat,161.5171,34612.27500000001,16799.287535996977
GGTAe2_reverse,DLkcat,159.5145,63153.45810000016,9092.96525125674
AMMQT8_2_num2,DLkcat,156.9569,47031.60640000007,12014.151402661832
AMMQT8_2_num3,DLkcat,156.9569,30885.8285,18294.631144506937
PFK_2_num2,DLkcat,152.4171,36548.25460000003,15013.071513406814
OXGDC,DLkcat,152.4171,141390.2845000002,3880.758582107522
FRDO_num2,DLkcat,146.5891,36256.29920000004,14555.28478207173
ACGAptspp_num1,DLkcat,145.9945,46546.06530000006,11291.61394443365
PA141abcpp_num1,DLkcat,133.7044,69354.91470000037,6940.183577213705
CS2,DLkcat,133.5909,35369.38100000004,13597.276129881931
CPPPGOAN2_1,DLkcat,133.0189,50908.88780000014,9406.374028072927
NADH4_num2,DLkcat,127.7242,50203.7541000001,943.8597852879373
ACGK,DLkcat,125.0847,36058.51890000004,12488.170167188966
OIVD2_num1,DLkcat,125.0847,51334.2554000001,8772.01620031678
TKT1_num2,DLkcat,124.5051,67817.43020000034,6609.191157467329
ACOAD5f_num5,DLkcat,118.721,42076.44140000008,10157.59854634473
DHAK,DLkcat,117.0354,35014.18690000003,12033.04938090679
FRDO_num1,DLkcat,108.5892,81782.5398000004,4780.007088994784
C141SN_num2,DLkcat,107.9208,26823.18759999997,3606.913062874801
GLNS_num3,DLkcat,95.5536,50762.81610000004,6776.475113641296
HCO3E_reverse_num1,DLkcat,92.3959,18064.3332,18413.369390241318
ILETA_num1,DLkcat,91.9771,39452.136100000025,8392.893078354757
ALAALAD,DLkcat,91.9223,44697.96610000007,7403.475121432863
PAH,DLkcat,88.9164,33400.39259999999,9583.690941405284
ADA_num1,DLkcat,86.5782,42793.86600000007,7283.322334093383
PC,DLkcat,86.5782,,inf
ALATA_L_num3,DLkcat,84.6355,43990.48000000007,6926.221309701543
INOSR_num1,DLkcat,84.3913,44241.387500000106,6867.069438091183
NH3c,DLkcat,84.3233,,inf
G3PD1_reverse_num1,DLkcat,83.0831,35019.64880000002,8540.895475799287
GLTPD_num2,DLkcat,82.433,34905.55840000003,8501.763432611346
ACOAD7f_reverse_num3,DLkcat,81.6084,41954.19990000004,7002.641945270411
KARA2_reverse,DLkcat,80.9464,39988.73640000001,7287.228010535485
GLNabcpp_num5,DLkcat,79.5307,23659.518800000005,12101.282465643379
HPA3MO_num2,DLkcat,76.032,20010.462199999994,13678.604585155463
PGSA140_num2,DLkcat,70.4387,23283.35209999999,10891.014271093727
PPGKr,DLkcat,68.5437,26006.20100000001,9488.40316969018
GPDDA2_num1,DLkcat,67.5662,43850.80050000011,5546.952785958819
ALAabcpp_num2,DLkcat,64.6152,32215.25600000005,3497.264962309122
AACPS9,DLkcat,64.5647,8844.758599999997,26279.17058132034
LCADi_num2,DLkcat,64.326,36513.40680000004,6342.15265829426
PTA2,DLkcat,64.1417,73933.4889000003,3123.2141677003838
ALAabc_num1,DLkcat,63.5872,25372.227199999976,3975.063803448176
