metabolite_id,old_formula,new_formula
pi_c,HPO4;HO4P,HPO4
ppi_c,HO7P2;P2HO7,HO7P2
nh4_c,H4N;NH4,H4N
3hdecACP_c,C394H621O144N96P1S3;C21H39N2O9PRS,C394H621O144N96P1S3
tdec2eACP_c,C21H37N2O8PRS;C394H619O143N96P1S3,C394H619O143N96P1S3
3hddecACP_c,C396H625O144N96P1S3;C23H43N2O9PRS,C396H625O144N96P1S3
tddec2eACP_c,C23H41N2O8PRS;C396H623O143N96P1S3,C396H623O143N96P1S3
3hcddec5eACP_c,C23H41N2O9PRS;C396H623O144N96P1S3,C396H623O144N96P1S3
t3c5ddeceACP_c,C396H621O143N96P1S3;C23H39N2O8PRS,C396H621O143N96P1S3
3hcmrs7eACP_c,C398H627O144N96P1S3;C25H45N2O9PRS,C398H627O144N96P1S3
t3c7mrseACP_c,C25H43N2O8PRS;C398H625O143N96P1S3,C398H625O143N96P1S3
3hpalmACP_c,C400H633O144N96P1S3;C27H51N2O9PRS,C400H633O144N96P1S3
tpalm2eACP_c,C400H631O143N96P1S3;C27H49N2O8PRS,C400H631O143N96P1S3
3hcpalm9eACP_c,C400H631O144N96P1S3;C27H49N2O9PRS,C400H631O144N96P1S3
t3c9palmeACP_c,C27H47N2O8PRS;C400H629O143N96P1S3,C400H629O143N96P1S3
3hoctaACP_c,C402H637O144N96P1S3;C29H55N2O9PRS,C402H637O144N96P1S3
toctd2eACP_c,C402H635O143N96P1S3;C29H53N2O8PRS,C402H635O143N96P1S3
3hcvac11eACP_c,C29H53N2O9PRS;C402H635O144N96P1S3,C402H635O144N96P1S3
t3c11vaceACP_c,C29H51N2O8PRS;C402H633O143N96P1S3,C402H633O143N96P1S3
3haACP_c,C388H609O144N96P1S3;C15H27N2O9PRS,C388H609O144N96P1S3
but2eACP_c,C15H25N2O8PRS;C388H607O143N96P1S3,C388H607O143N96P1S3
3hhexACP_c,C17H31N2O9PRS;C390H613O144N96P1S3,C390H613O144N96P1S3
thex2eACP_c,C17H29N2O8PRS;C390H611O143N96P1S3,C390H611O143N96P1S3
3hoctACP_c,C392H617O144N96P1S3;C19H35N2O9PRS,C392H617O144N96P1S3
toct2eACP_c,C19H33N2O8PRS;C392H615O143N96P1S3,C392H615O143N96P1S3
34dhpha_c,C8H7O4;C8H8O4,C8H7O4
3odecACP_c,C21H37N2O9PRS;C394H619O144N96P1S3,C394H619O144N96P1S3
3oddecACP_c,C23H41N2O9PRS;C396H623O144N96P1S3,C396H623O144N96P1S3
3ocddec5eACP_c,C396H621O144N96P1S3;C23H39N2O9PRS,C396H621O144N96P1S3
3omrsACP_c,C398H627O144N96P1S3;C25H45N2O9PRS,C398H627O144N96P1S3
3hmrsACP_c,C25H47N2O9PRS;C398H629O144N96P1S3,C398H629O144N96P1S3
3ocmrs7eACP_c,C25H43N2O9PRS;C398H625O144N96P1S3,C398H625O144N96P1S3
3opalmACP_c,C400H631O144N96P1S3;C27H49N2O9PRS,C400H631O144N96P1S3
3ocpalm9eACP_c,C400H629O144N96P1S3;C27H47N2O9PRS,C400H629O144N96P1S3
3ooctdACP_c,C29H53N2O9PRS;C402H635O144N96P1S3,C402H635O144N96P1S3
3ocvac11eACP_c,C29H51N2O9PRS;C402H633O144N96P1S3,C402H633O144N96P1S3
actACP_c,C15H25N2O9PRS;C388H607O144N96P1S3,C388H607O144N96P1S3
3ohexACP_c,C390H611O144N96P1S3;C17H29N2O9PRS,C390H611O144N96P1S3
3ooctACP_c,C19H33N2O9PRS;C392H615O144N96P1S3,C392H615O144N96P1S3
malACP_c,C387H604O145N96P1S3;C14H22N2O10PRS,C387H604O145N96P1S3
ocACP_c,C19H35N2O8PRS;C392H617O143N96P1S3,C392H617O143N96P1S3
ACP_c,HSR;HX;C384H603N96O142P1S3;C11H21N2O7PRS,C384H603N96O142P1S3
dcaACP_c,C394H621O143N96P1S3;C21H39N2O8PRS,C394H621O143N96P1S3
cdec3eACP_c,C21H37N2O8PRS;C394H619O143N96P1S3,C394H619O143N96P1S3
ddcaACP_c,C23H43N2O8PRS;C396H625O143N96P1S3,C396H625O143N96P1S3
cddec5eACP_c,C23H41N2O8PRS;C396H623O143N96P1S3,C396H623O143N96P1S3
myrsACP_c,C398H629O143N96P1S3;C25H47N2O8PRS,C398H629O143N96P1S3
tdeACP_c,C398H627O143N96P1S3;C25H45N2O8PRS,C398H627O143N96P1S3
palmACP_c,C400H633O143N96P1S3;C27H51N2O8PRS,C400H633O143N96P1S3
hdeACP_c,C400H631O143N96P1S3;C27H49N2O8PRS,C400H631O143N96P1S3
butACP_c,C388H609O143N96P1S3;C15H27N2O8PRS,C388H609O143N96P1S3
hexACP_c,C17H31N2O8PRS;C390H613O143N96P1S3,C390H613O143N96P1S3
octeACP_c,C402H635O143N96P1S3;C29H53N2O8PRS,C402H635O143N96P1S3
ocdcaACP_c,C402H637O143N96P1S3;C29H55N2O8PRS,C402H637O143N96P1S3
hco3_c,CHO3;HCO3,CHO3
malcoa_c,C24H34N7O19P3S;C24H33N7O19P3S,C24H34N7O19P3S
acACP_c,C386H605O143N96P1S3;C13H23N2O8PRS,C386H605O143N96P1S3
pan4p_c,C11H20N2O7PS;C11H21N2O7PS,C11H20N2O7PS
urea_c,CH4N2O;CH5N2O,CH4N2O
1hdecg3p_c,C19H37O7P1;C19H37O7P,C19H37O7P1
1odecg3p_c,C21H41O7P;C21H41O7P1,C21H41O7P
1odec11eg3p_c,C21H39O7P1;C21H39O7P,C21H39O7P1
air_c,C8H13N3O7P;C8H12N3O7P,C8H13N3O7P
h2s_c,HS;H2S,HS
pydx5p_c,C8H8NO6P;C8H7NO6P,C8H8NO6P
for_c,CHO2;CH1O2,CHO2
alltn_c,C4H5N4O3;C4H6N4O3,C4H5N4O3
trdrd_c,XH2;C6H9NO2S2R2,XH2
so3_c,O3S;HSO3,O3S
trdox_c,X;C6H7NO2S2R2,X
arachACP_c,C31H59N2O8PRS,C404H59O143N96P1S3
citr__L_c,C6H13N3O3;C6H14N3O3,C6H13N3O3
cbasp_c,C5H7N2O5;C5H6N2O5,C5H7N2O5
gthrd_c,C10H15N3O6S;C10H16N3O6S,C10H15N3O6S
gthox_c,C20H30N6O12S2;C20H28N6O12S2,C20H30N6O12S2
hco3_p,CHO3;HCO3,CHO3
cbl1_c,C62CoH88N13O14P;C62H88CoN13O14P,C62CoH88N13O14P
so4_c,O4S;SO4,O4S
focytc_c,C42H53FeN8O6S2;C34H32FeN4O4,C42H53FeN8O6S2
cyst__L_c,C6H12N2O4S2;C7H14N2O4S,C7H14N2O4S
