UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
E2PY14,18,"['Beta-ketoacyl-[acyl-carrier-protein] synthase III', '3-oxoacyl-[acyl-carrier-protein] synthase 3', '3-oxoacyl-[acyl-carrier-protein] synthase III']",Homodimer.,"['fabH', 'SCLAV_5117']",2
E2PVZ8,19,['Putative polyketide beta-ketoacyl synthase 1'],Homodimer.,"['sppA', 'SCLAV_4915']",2
E2Q2V0,20,['3-oxoacyl-[acyl-carrier-protein] synthase 2'],Homodimer.,"['fabB', 'SCLAV_1628']",2
E2Q9B0,21,['3-oxoacyl-acyl-carrier-protein synthase III'],Homodimer.,[],2
E2Q1E5,22,['Probable acetyl-CoA acetyltransferase'],Homodimer.,[],2
E2Q213,23,['Acetyl-CoA acetyltransferase'],Homodimer.,[],2
B5GVG1,24,['Oligopeptide transport integral membrane protein'],Homodimer.,[],2
B5GTY4,25,['Peptide ABC transporter ATP-binding protein'],Homodimer.,[],2
E2Q4P6,26,['Peptide transport system secreted peptide-binding protein'],Homodimer.,[],2
B5GTX5,27,['ABC transporter intracellular ATPase subunit'],Homodimer.,[],2
B5GZB8,28,['Probable aldehyde dehydrogenase'],Homodimer.,"['aldH', 'SCLAV_5677']",2
E2PW23,29,['Oxidoreductase'],Homodimer.,[],2
E2PW22,30,['Putative oxidoreductase'],Homodimer.,[],2
B5GL71,31,['Threonine synthase'],Homodimer.,[],2
E2PX73,32,['Putative LD-carboxypeptidase'],Homodimer.,[],2
D5SJW5,33,['Short-chain dehydrogenase/reductase SDR'],Homodimer.,"['ygcW', 'SCLAV_p0721']",2
E2Q443,34,['Putative sugar permease'],Homodimer.,[],2
B5GQL8,35,"['Acyl carrier protein', 'ACP']",Homodimer.,"['acpP', 'SCLAV_1627']",2
B5GXE2,36,['Alpha-amylase'],Homodimer.,"['amy', 'SCLAV_1446']",2
B5H3Q2,37,['Putative sugar hydrolase'],Homodimer.,[],2
E2PZ51,38,['Aminotransferase'],Homodimer.,[],2
E2Q943,39,"['4-aminobutyrate aminotransferase', '(S)-3-amino-2-methylpropionate transaminase', 'GABA aminotransferase', 'Gamma-amino-N-butyrate transaminase', 'Glutamate:succinic semialdehyde transaminase', 'L-AIBAT']",Homodimer.,"['gabT', 'SCLAV_4585']",2
B5H486,40,['Putative aminotransferase'],Homodimer.,[],2
E2Q928,41,['Aldehyde dehydrogenase'],Homodimer.,[],2
B5GPD0,42,['Aldehyde dehydrogenase'],Homodimer.,[],2
E2Q3H5,43,['Aldehyde dehydrogenase'],Homodimer.,[],2
E2Q3Q4,44,['Putative gamma-aminobutyrate permease'],Homodimer.,[],2
B5H3K9,45,['Coenzyme A transferase'],Homodimer.,"['cotA', 'SCLAV_1218']",2
E2PVS8,46,['Acetyl-CoA acetyltransferase'],Homodimer.,[],2
B5GL15,47,['Probable acetyl-CoA acetyltransferase'],Homodimer.,[],2
B5GZQ1,48,['Acetyl-CoA acetyltransferase'],Homodimer.,[],2
B5H3K4,49,['Putative 3-ketoacyl-CoA thiolase/acetyl-CoA acetyltransferase'],Homodimer.,[],2
B5GZV5,50,['Dehydrogenase'],Homodimer.,"['paaZ', 'SCLAV_2973']",2
E2Q823,51,['Methylmalonyl-CoA decarboxylase alpha subunit'],Homodimer.,[],2
B5GSW6,52,['Propionyl-CoA carboxylase'],Homodimer.,[],2
B5H415,53,['Acetoacetyl-CoA synthetase'],Homodimer.,[],2
B5GX14,54,['Phosphoglucosamine mutase'],Homodimer.,"['glmM', 'SCLAV_3671']",2
E2Q549,55,['Putative PTS transmembrane component'],Homodimer.,[],2
B5H413,56,['Phosphoenolpyruvate-protein phosphotransferase'],Homodimer.,[],2
B5H412,57,['Putative phosphoenolpyruvate-dependent sugar phosphotransferase'],Homodimer.,"['ptsA', 'SCLAV_0623']",2
