,UniProtID,proteinNames,txt_subunit,geneNames
0,B5GXE4,['Transport systems inner membrane protein'],,[]
1,E2Q440,['Putative 2-oxo-3-deoxygluconate kinase'],,"['kdgK', 'SCLAV_3904']"
2,E2PXD3,['Glycohydrolase'],,[]
3,E2PVL3,['HAD-superfamily hydrolase'],,[]
4,B5GSL5,['4-hydroxyphenylpyruvate dioxygenase'],,[]
5,E2Q682,['Predicted hydrolase or acyltransferase of alpha/beta superfamily'],,[]
6,E2Q069,['Hydrolase'],,[]
7,D5SK10,"['Monooxygenase, FAD-binding protein']",,[]
8,E2PX14,['GntR-family transcriptional regulator'],,[]
9,E2Q525,['Oxidoreductase'],,[]
10,E2Q109,['Putative oxidoreductase'],,[]
11,B5GTR9,['Putative secreted protein'],,[]
12,B5GWQ5,['Short-chain dehydrogenase/reductase SDR'],,[]
13,B5GYU7,['Dehydrogenase'],,[]
14,B5GV85,['Glucose 1-dehydrogenase'],,[]
15,B5GZ96,['Putative short chain dehydrogenase'],,[]
16,E2PU44,['3-oxoacyl-ACP reductase'],,"['fabG1', 'SCLAV_0587']"
17,D5SL31,['Putative short chain dehydrogenase'],,[]
18,E2PY14,"['Beta-ketoacyl-[acyl-carrier-protein] synthase III', '3-oxoacyl-[acyl-carrier-protein] synthase 3', '3-oxoacyl-[acyl-carrier-protein] synthase III']",Homodimer.,"['fabH', 'SCLAV_5117']"
19,E2PVZ8,['Putative polyketide beta-ketoacyl synthase 1'],Homodimer.,"['sppA', 'SCLAV_4915']"
20,E2Q2V0,['3-oxoacyl-[acyl-carrier-protein] synthase 2'],Homodimer.,"['fabB', 'SCLAV_1628']"
21,E2Q9B0,['3-oxoacyl-acyl-carrier-protein synthase III'],Homodimer.,[]
22,E2Q1E5,['Probable acetyl-CoA acetyltransferase'],Homodimer.,[]
23,E2Q213,['Acetyl-CoA acetyltransferase'],Homodimer.,[]
24,B5GVG1,['Oligopeptide transport integral membrane protein'],Homodimer.,[]
25,B5GTY4,['Peptide ABC transporter ATP-binding protein'],Homodimer.,[]
26,E2Q4P6,['Peptide transport system secreted peptide-binding protein'],Homodimer.,[]
27,B5GTX5,['ABC transporter intracellular ATPase subunit'],Homodimer.,[]
28,B5GZB8,['Probable aldehyde dehydrogenase'],Homodimer.,"['aldH', 'SCLAV_5677']"
29,E2PW23,['Oxidoreductase'],Homodimer.,[]
30,E2PW22,['Putative oxidoreductase'],Homodimer.,[]
31,B5GL71,['Threonine synthase'],Homodimer.,[]
32,E2PX73,['Putative LD-carboxypeptidase'],Homodimer.,[]
33,D5SJW5,['Short-chain dehydrogenase/reductase SDR'],Homodimer.,"['ygcW', 'SCLAV_p0721']"
34,E2Q443,['Putative sugar permease'],Homodimer.,[]
35,B5GQL8,"['Acyl carrier protein', 'ACP']",Homodimer.,"['acpP', 'SCLAV_1627']"
36,B5GXE2,['Alpha-amylase'],Homodimer.,"['amy', 'SCLAV_1446']"
37,B5H3Q2,['Putative sugar hydrolase'],Homodimer.,[]
38,E2PZ51,['Aminotransferase'],Homodimer.,[]
39,E2Q943,"['4-aminobutyrate aminotransferase', '(S)-3-amino-2-methylpropionate transaminase', 'GABA aminotransferase', 'Gamma-amino-N-butyrate transaminase', 'Glutamate:succinic semialdehyde transaminase', 'L-AIBAT']",Homodimer.,"['gabT', 'SCLAV_4585']"
40,B5H486,['Putative aminotransferase'],Homodimer.,[]
41,E2Q928,['Aldehyde dehydrogenase'],Homodimer.,[]
